Gaia19dlg
#Date,JD,averagemag.
2014-09-18 20:50:43,2456919.369,untrusted
2014-09-26 14:01:42,2456927.085,untrusted
2014-10-25 12:06:28,2456956.004,untrusted
2015-02-16 01:29:18,2457069.562,null
2015-03-17 05:24:34,2457098.725,19.24
2015-03-17 07:11:08,2457098.799,19.19
2015-04-11 17:12:17,2457124.217,null
2015-04-11 18:58:26,2457124.291,null
2015-05-25 23:42:42,2457168.488,null
2015-05-26 03:56:26,2457168.664,null
2015-05-26 05:43:11,2457168.738,null
2015-05-26 09:56:56,2457168.915,null
2015-05-31 04:00:19,2457173.667,19.20
2015-05-31 10:00:32,2457173.917,19.18
2015-05-31 11:47:06,2457173.991,19.21
2015-05-31 16:00:46,2457174.167,19.16
2015-05-31 17:47:20,2457174.241,19.22
2015-07-20 16:06:04,2457224.171,19.15
2015-07-20 20:19:44,2457224.347,19.23
2015-08-01 08:27:20,2457235.852,null
2015-08-01 10:14:05,2457235.926,null
2015-09-11 01:31:54,2457276.564,null
2015-09-11 03:18:39,2457276.638,null
2015-11-05 21:04:09,2457332.378,19.03
2015-11-06 01:17:50,2457332.554,19.16
2016-01-04 07:10:45,2457391.799,19.23
2016-01-04 13:10:59,2457392.049,19.21
2016-01-04 14:57:36,2457392.123,null
2016-01-04 19:11:13,2457392.299,19.13
2016-01-04 20:57:47,2457392.373,19.14
2016-01-05 01:11:27,2457392.550,19.13
2016-01-05 02:58:01,2457392.624,untrusted
2016-01-05 07:11:40,2457392.800,19.09
2016-01-05 08:58:14,2457392.874,19.06
2016-01-05 14:58:28,2457393.124,19.08
2016-01-11 21:04:15,2457399.378,null
2016-01-12 01:17:25,2457399.554,null
2016-01-12 03:04:10,2457399.628,null
2016-01-12 07:17:54,2457399.804,null
2016-01-12 09:04:39,2457399.878,null
2016-01-12 13:18:23,2457400.054,null
2016-01-12 15:04:33,2457400.128,null
2016-01-12 19:18:18,2457400.304,null
2016-01-12 21:05:03,2457400.379,null
2016-01-13 01:18:47,2457400.555,null
2016-02-27 08:37:40,2457445.859,19.17
2016-03-30 12:21:01,2457478.015,19.21
2016-04-21 12:15:39,2457500.011,null
2016-04-21 14:02:24,2457500.085,null
2016-07-29 21:18:15,2457599.388,19.09
2016-07-29 23:04:49,2457599.462,19.11
2016-08-14 15:24:37,2457615.142,19.16
2016-08-14 17:11:12,2457615.216,19.15
2016-09-21 08:40:54,2457652.862,19.24
2016-09-21 10:27:31,2457652.936,null
2016-10-25 20:20:30,2457687.348,19.09
2016-10-25 22:07:04,2457687.422,19.06
2016-11-16 02:28:46,2457708.603,19.19
2016-11-16 04:15:21,2457708.677,19.07
2016-11-16 08:29:02,2457708.853,19.15
2017-01-13 14:20:05,2457767.097,19.17
2017-01-13 16:06:39,2457767.171,19.13
2017-01-13 20:20:18,2457767.347,19.08
2017-01-13 22:06:52,2457767.421,19.03
2017-01-30 20:29:18,2457784.354,null
2017-01-30 22:15:44,2457784.428,19.09
2017-01-31 02:29:47,2457784.604,null
2017-03-09 15:22:03,2457822.140,null
2017-03-09 17:08:18,2457822.214,19.11
2017-04-13 14:39:06,2457857.110,19.17
2017-05-02 02:39:43,2457875.611,19.04
2017-08-09 07:28:55,2457974.812,null
2017-08-09 11:42:28,2457974.988,19.15
2017-08-28 23:45:14,2457994.490,19.12
2017-08-29 01:31:48,2457994.564,19.08
2017-10-02 19:00:22,2458029.292,null
2017-11-11 16:51:00,2458069.202,19.09
2017-11-11 18:37:35,2458069.276,19.07
2017-11-27 00:48:35,2458084.534,19.11
2017-11-27 05:02:16,2458084.710,19.15
2017-11-27 06:48:50,2458084.784,19.08
2017-11-27 11:02:31,2458084.960,19.18
2018-01-24 16:52:24,2458143.203,19.15
2018-01-24 18:38:58,2458143.277,19.15
2018-01-24 22:52:35,2458143.453,null
2018-01-25 00:39:11,2458143.527,19.06
2018-02-16 00:42:03,2458165.529,19.08
2018-03-20 22:29:07,2458198.437,19.11
2018-04-27 15:34:16,2458236.149,19.14
2018-04-27 17:20:49,2458236.223,19.21
2018-05-12 09:39:04,2458250.902,19.13
2018-05-12 11:25:38,2458250.976,19.12
2018-08-20 02:32:56,2458350.606,19.12
2018-09-12 08:30:34,2458373.855,19.12
2018-10-14 06:24:07,2458405.767,19.21
2018-10-14 08:10:42,2458405.841,19.21
2018-12-02 18:07:32,2458455.255,19.19
2018-12-03 00:07:47,2458455.505,19.23
2018-12-03 06:08:02,2458455.756,19.25
2018-12-03 07:54:36,2458455.830,19.20
2018-12-03 12:08:17,2458456.006,19.25
2018-12-03 13:54:51,2458456.080,19.20
2018-12-03 18:08:32,2458456.256,19.20
2018-12-03 19:55:06,2458456.330,19.08
2018-12-04 00:08:46,2458456.506,19.18
2018-12-04 01:55:21,2458456.580,19.19
2018-12-04 06:09:01,2458456.756,19.17
2018-12-04 07:55:36,2458456.830,19.25
2018-12-04 12:09:16,2458457.006,19.17
2018-12-04 13:55:50,2458457.080,19.21
2018-12-04 18:09:49,2458457.257,null
2018-12-04 19:56:05,2458457.331,19.22
2018-12-05 00:09:46,2458457.507,19.21
2018-12-05 01:56:20,2458457.581,19.21
2018-12-05 06:10:00,2458457.757,19.18
2018-12-05 07:56:35,2458457.831,19.12
2018-12-05 12:10:15,2458458.007,19.25
2018-12-05 13:56:50,2458458.081,19.18
2018-12-05 18:10:30,2458458.257,19.20
2018-12-05 19:57:04,2458458.331,19.22
2018-12-06 00:10:45,2458458.507,19.26
2018-12-06 01:57:19,2458458.581,19.16
2018-12-06 06:11:00,2458458.758,19.27
2018-12-06 12:11:15,2458459.008,19.28
2018-12-06 18:11:30,2458459.258,19.22
2019-02-05 00:02:00,2458519.501,19.15
2019-02-05 01:48:38,2458519.575,null
2019-03-02 23:55:31,2458545.497,19.21
2019-03-03 01:42:05,2458545.571,19.15
2019-03-31 23:35:25,2458574.483,untrusted
2019-04-01 01:21:58,2458574.557,untrusted
2019-05-11 18:15:49,2458615.261,19.21
2019-05-11 22:29:28,2458615.437,19.17
2019-05-12 00:16:02,2458615.511,19.17
2019-05-22 04:35:33,2458625.691,19.16
2019-05-22 06:22:07,2458625.765,19.21
2019-07-11 02:52:48,2458675.620,19.10
2019-07-11 04:39:22,2458675.694,19.15
2019-07-11 08:53:03,2458675.870,19.12
2019-07-11 10:39:37,2458675.944,19.12
2019-08-09 13:14:31,2458705.052,17.84
2019-08-09 17:28:12,2458705.228,17.84
2019-09-06 00:26:15,2458732.518,18.15
2019-09-06 02:12:50,2458732.592,18.09
2019-10-05 07:40:54,2458761.820,18.73
2019-11-14 10:04:31,2458801.920,19.04
2019-11-14 11:51:06,2458801.994,19.00
2019-11-14 16:04:46,2458802.170,18.98
2019-11-24 04:17:07,2458811.679,18.94
2019-11-24 06:03:41,2458811.753,18.98
2020-01-10 01:31:39,2458858.564,19.08
2020-01-10 03:18:13,2458858.638,19.07
2020-01-10 07:32:13,2458858.814,null
2020-01-10 09:18:27,2458858.888,19.02
2020-01-16 19:38:47,2458865.319,19.02
2020-01-16 21:25:21,2458865.393,18.93
2020-01-17 01:39:00,2458865.569,19.14
2020-02-27 10:05:17,2458906.920,19.14
2020-03-24 17:05:01,2458933.212,19.04
2020-03-24 18:51:35,2458933.286,19.07
2020-04-22 12:07:29,2458962.005,19.16
2020-04-22 13:54:03,2458962.079,19.16

