Gaia19ewa
#Date,JD,averagemag.
2014-08-12 21:20:56,2456882.390,null
2014-08-13 01:34:42,2456882.566,null
2014-08-13 03:21:27,2456882.640,null
2014-08-13 07:35:13,2456882.816,null
2014-08-13 09:21:58,2456882.890,null
2014-08-13 13:35:08,2456883.066,null
2014-08-13 15:21:54,2456883.140,null
2014-08-13 19:35:39,2456883.316,null
2014-08-13 21:22:24,2456883.391,null
2014-08-14 01:36:10,2456883.567,null
2014-11-08 02:53:51,2456969.621,null
2014-11-08 04:40:35,2456969.695,null
2014-11-27 02:52:08,2456988.620,null
2014-12-31 21:51:18,2457023.411,null
2015-02-02 13:39:28,2457056.069,null
2015-02-02 15:26:13,2457056.143,null
2015-02-28 01:39:33,2457081.569,null
2015-02-28 03:25:43,2457081.643,null
2015-04-16 13:17:38,2457129.054,null
2015-04-16 15:04:23,2457129.128,null
2015-06-17 08:50:20,2457190.868,null
2015-08-13 20:15:34,2457248.344,null
2015-09-25 23:09:16,2457291.465,null
2015-10-08 13:01:42,2457304.043,null
2015-10-08 17:15:26,2457304.219,null
2015-11-18 21:54:39,2457345.413,null
2015-11-18 23:41:24,2457345.487,null
2015-12-10 09:48:50,2457366.909,null
2016-01-12 09:11:49,2457399.883,null
2016-01-12 10:57:58,2457399.957,null
2016-02-17 10:30:43,2457435.938,null
2016-02-17 14:44:27,2457436.114,null
2016-03-12 02:49:11,2457459.617,null
2016-03-12 04:35:56,2457459.692,null
2016-03-12 08:49:41,2457459.868,null
2016-03-12 10:36:26,2457459.942,null
2016-04-28 16:15:26,2457507.177,null
2016-04-28 20:29:11,2457507.354,null
2016-05-26 14:29:07,2457535.104,null
2016-05-26 16:15:52,2457535.178,null
2016-06-28 09:59:17,2457567.916,null
2016-06-28 14:12:28,2457568.092,null
2016-08-05 13:27:37,2457606.061,null
2016-08-05 15:14:23,2457606.135,null
2016-08-24 01:30:38,2457624.563,null
2016-08-24 03:17:24,2457624.637,null
2016-10-06 12:05:43,2457668.004,null
2016-10-06 13:52:28,2457668.078,null
2016-10-19 19:57:40,2457681.332,null
2016-10-20 00:11:25,2457681.508,null
2016-12-22 18:32:12,2457745.272,null
2017-01-22 22:19:07,2457776.430,null
2017-01-23 00:05:52,2457776.504,null
2017-03-03 23:14:10,2457816.468,null
2017-03-04 01:00:55,2457816.542,null
2017-03-26 05:22:42,2457838.724,null
2017-03-26 07:09:27,2457838.798,null
2017-03-26 11:23:12,2457838.974,null
2017-03-26 13:09:22,2457839.048,null
2017-05-11 12:48:24,2457885.034,null
2017-06-10 16:55:22,2457915.205,null
2017-07-10 10:43:08,2457944.947,null
2017-08-19 03:48:14,2457984.658,null
2017-08-19 05:34:24,2457984.732,null
2017-09-04 09:53:24,2458000.912,null
2017-10-17 14:25:00,2458044.101,null
2017-10-17 16:11:45,2458044.175,null
2017-11-01 10:15:37,2458058.928,null
2017-11-01 14:29:21,2458059.104,null
2017-12-09 19:22:47,2458097.307,null
2017-12-09 21:09:31,2458097.382,null
2018-01-05 08:53:16,2458123.870,null
2018-02-03 18:49:49,2458153.285,null
2018-02-03 20:36:34,2458153.359,null
2018-03-19 08:10:25,2458196.841,null
2018-03-19 12:24:10,2458197.017,null
2018-04-10 12:33:51,2458219.024,null
2018-04-10 14:20:36,2458219.098,null
2018-04-10 18:34:21,2458219.274,null
2018-04-10 20:20:31,2458219.348,null
2018-05-24 01:59:19,2458262.583,null
2018-06-25 07:43:25,2458294.822,null
2018-07-22 01:36:00,2458321.567,null
2018-07-22 05:49:46,2458321.743,null
2018-09-01 06:31:32,2458362.772,null
2018-09-15 12:37:40,2458377.026,null
2018-09-15 16:51:25,2458377.202,null
2018-10-28 15:23:02,2458420.141,null
2018-10-28 17:09:47,2458420.215,null
2018-11-14 09:24:46,2458436.892,null
2018-12-20 22:14:04,2458473.426,null
2019-01-19 09:53:05,2458502.912,null
2019-02-15 19:58:17,2458530.332,null
2019-02-15 21:45:02,2458530.406,null
2019-04-03 01:35:24,2458576.566,null
2019-04-03 03:21:34,2458576.640,null
2019-04-26 13:43:54,2458600.072,null
2019-04-26 15:30:39,2458600.146,null
2019-06-05 09:09:15,2458639.881,null
2019-06-05 13:23:01,2458640.058,null
2019-07-09 18:57:58,2458674.290,null
2019-07-09 20:44:43,2458674.364,null
2019-07-23 02:52:59,2458687.620,null
2019-07-23 04:39:09,2458687.694,null
2019-08-20 23:39:37,2458716.486,null
2019-08-21 03:53:23,2458716.662,null
2019-10-07 11:45:43,2458763.990,null
2019-10-07 13:31:53,2458764.064,null
2019-10-30 18:20:50,2458787.264,17.79
2019-10-30 20:07:24,2458787.338,17.74
2019-10-31 00:21:03,2458787.515,17.78

