Gaia18bir
#Date,JD,averagemag.
2014-11-28 16:56:19,2456990.206,null
2014-11-28 18:43:04,2456990.280,null
2015-04-21 17:24:18,2457134.225,null
2015-04-21 19:11:02,2457134.299,null
2015-05-28 12:27:43,2457171.019,null
2015-05-28 16:41:26,2457171.195,null
2015-06-10 22:47:15,2457184.449,null
2015-06-11 00:34:00,2457184.524,null
2015-09-16 14:43:15,2457282.113,null
2015-09-16 18:56:26,2457282.289,null
2015-09-30 19:05:01,2457296.295,null
2015-11-05 00:32:21,2457331.522,null
2016-03-12 06:59:02,2457459.791,null
2016-03-12 08:45:12,2457459.865,null
2016-03-28 02:51:02,2457475.619,null
2016-03-28 07:04:45,2457475.795,null
2016-05-01 18:32:55,2457510.273,null
2016-09-24 15:46:49,2457656.158,null
2016-09-24 20:00:35,2457656.334,null
2016-10-14 20:03:28,2457676.336,null
2016-10-14 21:50:13,2457676.410,null
2016-11-14 15:30:12,2457707.146,null
2017-03-21 05:13:53,2457833.718,null
2017-03-21 09:27:37,2457833.894,null
2017-04-13 03:24:47,2457856.642,null
2017-05-12 15:03:22,2457886.127,null
2017-10-04 16:29:53,2458031.187,null
2017-10-29 12:11:09,2458056.008,null
2017-11-25 00:03:32,2458082.502,null
2018-03-31 10:35:44,2458208.941,null
2018-03-31 12:22:28,2458209.016,null
2018-04-28 04:19:52,2458236.680,null
2018-04-28 06:06:37,2458236.755,null
2018-05-23 04:09:43,2458261.673,19.09
2018-05-23 05:56:17,2458261.747,19.11
2018-10-14 23:39:13,2458406.486,null
2018-10-15 01:25:59,2458406.560,null
2018-12-04 19:14:01,2458457.301,null
2018-12-04 23:27:12,2458457.477,null
2019-04-11 05:44:34,2458584.739,null
2019-05-13 07:01:09,2458616.792,null
2019-06-02 05:14:38,2458636.718,null
2019-06-02 07:01:22,2458636.793,null

