Gaia19ect
#Date,JD,averagemag.
2015-02-26 15:17:23,2457080.137,null
2015-02-26 17:04:09,2457080.211,null
2015-03-25 09:08:23,2457106.881,19.40
2015-04-18 21:06:12,2457131.379,19.52
2015-04-18 22:52:46,2457131.453,19.44
2015-09-03 11:36:17,2457268.984,19.39
2015-10-03 03:27:40,2457298.644,19.52
2015-10-24 21:23:32,2457320.391,null
2015-10-24 23:10:17,2457320.465,null
2016-03-07 22:27:56,2457455.436,null
2016-03-08 00:14:42,2457455.510,null
2016-04-08 11:54:41,2457486.996,null
2016-04-27 10:15:05,2457505.927,null
2016-04-27 12:01:50,2457506.001,null
2016-09-13 06:44:52,2457644.781,19.99
2016-10-17 06:09:04,2457678.756,null
2016-10-17 10:22:47,2457678.932,null
2016-11-01 16:26:57,2457694.185,null
2016-11-01 18:13:42,2457694.260,null
2017-02-02 19:57:30,2457787.332,null
2017-02-03 00:11:16,2457787.508,null
2017-02-03 01:58:02,2457787.582,null
2017-02-03 06:11:48,2457787.758,null
2017-02-03 07:57:58,2457787.832,null
2017-02-03 12:11:44,2457788.008,null
2017-02-03 13:58:30,2457788.082,null
2017-02-03 18:12:16,2457788.259,null
2017-02-03 19:58:26,2457788.332,null
2017-02-04 00:12:12,2457788.508,null
2017-02-04 01:58:58,2457788.583,null
2017-02-04 06:12:44,2457788.759,null
2017-02-04 12:12:41,2457789.009,null
2017-02-04 18:13:12,2457789.259,null
2017-02-05 00:13:09,2457789.509,null
2017-02-05 01:59:54,2457789.583,null
2017-02-05 06:13:40,2457789.759,null
2017-02-05 08:00:26,2457789.834,null
2017-02-05 12:13:37,2457790.009,null
2017-02-05 14:00:22,2457790.084,null
2017-02-05 18:14:08,2457790.260,null
2017-02-05 20:00:54,2457790.334,null
2017-02-06 00:14:40,2457790.510,null
2017-02-06 02:00:51,2457790.584,null
2017-02-06 06:14:24,2457790.760,19.90
2017-02-06 08:01:22,2457790.834,null
2017-03-18 13:01:55,2457831.043,null
2017-03-18 14:48:06,2457831.117,null
2017-04-25 12:32:49,2457869.023,null
2017-04-25 14:19:35,2457869.097,null
2017-05-04 14:27:29,2457878.102,null
2017-05-04 18:41:15,2457878.279,null
2017-05-04 20:28:00,2457878.353,null
2017-05-05 00:41:47,2457878.529,null
2017-08-06 20:01:23,2457972.334,null
2017-08-06 21:48:08,2457972.408,null
2017-08-07 02:01:52,2457972.585,null
2017-08-07 03:48:01,2457972.658,null
2017-08-16 14:08:09,2457982.089,null
2017-08-16 15:54:19,2457982.163,null
2017-08-16 20:08:03,2457982.339,null
2017-08-16 21:54:47,2457982.413,null
2017-09-24 01:29:43,2458020.562,null
2017-09-24 03:16:27,2458020.636,null
2017-11-04 02:30:37,2458061.605,null
2017-11-04 06:44:21,2458061.781,null
2017-11-04 08:31:06,2458061.855,null
2017-11-04 12:44:15,2458062.031,null
2017-11-04 14:30:59,2458062.105,null
2017-11-04 18:44:43,2458062.281,null
2017-11-04 20:31:00,2458062.355,19.54
2017-11-05 00:44:37,2458062.531,null
2017-11-05 02:31:21,2458062.605,null
2017-11-05 06:44:52,2458062.781,19.40
2017-11-05 08:31:50,2458062.855,null
2017-11-05 12:45:34,2458063.032,null
2017-11-05 14:31:43,2458063.105,null
2017-11-05 18:45:27,2458063.282,null
2017-11-05 20:32:12,2458063.356,null
2017-11-06 00:45:55,2458063.532,null
2017-11-06 02:32:03,2458063.606,19.51
2017-11-06 06:45:49,2458063.782,null
2017-11-06 08:32:33,2458063.856,null
2017-11-06 12:46:17,2458064.032,null
2017-11-06 14:32:27,2458064.106,null
2017-11-06 18:46:11,2458064.282,null
2017-11-06 20:32:55,2458064.356,null
2017-11-07 00:46:39,2458064.532,null
2017-11-07 02:33:24,2458064.607,null
2017-11-07 08:33:17,2458064.856,null
2018-02-08 08:32:03,2458157.856,null
2018-02-08 10:18:14,2458157.929,null
2018-03-29 03:59:24,2458206.666,19.38
2018-08-14 15:03:57,2458345.128,19.36
2018-08-14 16:50:30,2458345.202,19.42
2018-09-02 21:06:24,2458364.379,null
2018-09-02 22:52:52,2458364.453,untrusted
2018-10-04 20:37:55,2458396.360,19.40
2018-10-04 22:24:32,2458396.434,null
2019-02-17 03:37:29,2458531.651,null
2019-02-17 05:24:14,2458531.725,null
2019-03-10 17:24:50,2458553.226,19.37
2019-04-08 21:24:42,2458582.392,null
2019-08-22 04:02:39,2458717.669,18.69
2019-09-13 22:44:38,2458740.448,17.88
2019-09-14 02:58:16,2458740.624,17.89
2019-10-12 23:52:37,2458769.495,17.79
2020-02-20 15:21:01,2458900.140,19.28
2020-02-20 19:34:42,2458900.316,19.38
2020-03-16 08:31:33,2458924.855,19.30

