Gaia15abh
#Date,JD,averagemag.
2014-08-03 03:17:56,2456872.637,17.82
2014-08-03 07:31:32,2456872.814,18.01
2014-08-03 09:18:18,2456872.888,17.90
2014-08-03 13:31:37,2456873.064,17.96
2014-08-03 15:18:24,2456873.138,18.09
2014-08-03 19:31:54,2456873.314,18.18
2014-08-03 21:18:44,2456873.388,18.29
2014-08-04 01:32:32,2456873.564,18.32
2014-08-04 03:18:42,2456873.638,17.91
2014-08-04 07:32:41,2456873.814,18.42
2014-11-06 14:38:51,2456968.110,17.59
2014-11-06 16:25:02,2456968.184,17.67
2014-11-25 14:38:44,2456987.110,16.32
2014-11-25 16:24:59,2456987.184,null
2014-12-29 03:47:35,2457020.658,null
2015-02-04 15:20:36,2457058.139,16.60
2015-02-04 19:34:34,2457058.316,16.49
2015-02-04 21:21:01,2457058.390,16.51
2015-02-23 01:44:26,2457076.573,17.76
2015-02-23 03:30:49,2457076.646,17.44
2015-02-23 09:31:08,2457076.897,18.27
2015-04-20 19:31:53,2457133.314,18.11
2015-04-20 21:18:43,2457133.388,18.15
2015-04-21 01:32:24,2457133.564,18.39
2015-05-14 15:24:06,2457157.142,16.70

